epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.4488,0.92644,2.61098,1.33195,0.58569,0.59331,0.60263,0.43223,0.95381,1.84011,1.48612,0.000174766,0.000174766,0.000174766
2,123.217,0.92243,1.61522,1.30746,0.64813,0.52305,0.60531,0.42042,1.093,1.77774,1.57779,0.000343167,0.000343167,0.000343167
3,180.284,0.94884,1.55903,1.32117,0.6373,0.61744,0.65874,0.45888,1.01415,1.64836,1.52032,0.000504625,0.000504625,0.000504625
4,238.41,0.95256,1.49713,1.3259,0.67058,0.63707,0.70264,0.50483,0.99672,1.56383,1.49845,0.000494756,0.000494756,0.000494756
5,296.928,0.92785,1.39211,1.30372,0.69791,0.68621,0.73963,0.54162,0.98475,1.36377,1.47742,0.000484341,0.000484341,0.000484341
6,355.205,0.91163,1.31918,1.29642,0.74675,0.72187,0.79156,0.59657,0.90358,1.21119,1.39077,0.000473926,0.000473926,0.000473926
7,412.658,0.88612,1.2413,1.27749,0.73982,0.74127,0.80286,0.6064,0.89293,1.18276,1.37574,0.000463511,0.000463511,0.000463511
8,470.808,0.87754,1.2124,1.27282,0.75385,0.69841,0.77012,0.59422,0.87401,1.22851,1.37068,0.000453096,0.000453096,0.000453096
9,528.99,0.84504,1.15808,1.25517,0.8056,0.76228,0.83771,0.65016,0.83333,1.11398,1.32117,0.000442682,0.000442682,0.000442682
10,586.873,0.84916,1.10752,1.24394,0.81256,0.74221,0.82679,0.64363,0.82484,1.11608,1.30278,0.000432267,0.000432267,0.000432267
11,643.536,0.82828,1.07563,1.23923,0.80866,0.77074,0.82949,0.63944,0.84502,1.06691,1.32783,0.000421852,0.000421852,0.000421852
12,700.904,0.81682,1.04143,1.22949,0.83355,0.72761,0.83191,0.6438,0.83889,1.06161,1.32495,0.000411437,0.000411437,0.000411437
13,757.673,0.80872,1.022,1.22101,0.83742,0.75939,0.85174,0.67789,0.79397,0.9837,1.29322,0.000401022,0.000401022,0.000401022
14,815.857,0.79999,0.98045,1.21519,0.83039,0.78326,0.85502,0.68238,0.8007,0.95018,1.30375,0.000390608,0.000390608,0.000390608
15,873.285,0.77808,0.96125,1.20236,0.78685,0.78001,0.84253,0.66863,0.79219,0.9963,1.27985,0.000380193,0.000380193,0.000380193
16,929.716,0.77004,0.92202,1.1955,0.8241,0.80769,0.85983,0.688,0.78668,0.94587,1.28129,0.000369778,0.000369778,0.000369778
17,987.501,0.77095,0.90584,1.19468,0.83877,0.81101,0.85603,0.69894,0.75508,0.88227,1.25155,0.000359363,0.000359363,0.000359363
18,1045.75,0.75616,0.87564,1.18403,0.85014,0.80286,0.87188,0.70377,0.75008,0.89211,1.2438,0.000348948,0.000348948,0.000348948
19,1103.56,0.75099,0.86498,1.18263,0.82327,0.80693,0.86794,0.69637,0.78396,0.88488,1.27021,0.000338534,0.000338534,0.000338534
20,1161.13,0.73836,0.83203,1.1725,0.84581,0.83224,0.88222,0.72348,0.72899,0.82101,1.22649,0.000328119,0.000328119,0.000328119
21,1219.08,0.74104,0.81515,1.17504,0.86667,0.82341,0.88556,0.71906,0.72521,0.85413,1.20906,0.000317704,0.000317704,0.000317704
22,1276.73,0.72053,0.78346,1.15786,0.83089,0.81591,0.87483,0.71408,0.72465,0.87723,1.21521,0.000307289,0.000307289,0.000307289
